2026-01-21 14:44:00 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-21 14:44:01 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:44:01 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-21 14:44:02 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:44:03 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:44:29 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:44:30 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:44:30 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:47:12 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-21 14:47:12 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:47:13 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-21 14:47:14 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:47:14 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:47:42 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:47:42 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:47:42 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:48:18 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:48:18 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:48:19 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:49:33 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
